exercicio;demonstrativo;periodo;periodicidade;instituicao;cod_ibge;uf;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ReceitasPrimariasCorrentes;RECEITAS PRIMÁRIAS CORRENTES (I);3939420192,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ReceitasPrimariasCorrentes;RECEITAS PRIMÁRIAS CORRENTES (I);715588012,67
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6ReceitasPrimariasCorrentes;RECEITAS PRIMÁRIAS CORRENTES (I);675240826,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ReceitasTributarias;Receitas Tributárias;1485539100,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ReceitasTributarias;Receitas Tributárias;336487754,18
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6ReceitasTributarias;Receitas Tributárias;317666217,98
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6IPTU;IPTU;324000000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6IPTU;IPTU;125190433,33
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6IPTU;IPTU;118803785,17
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ISS;ISS;796000000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ISS;ISS;117522386,48
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6ISS;ISS;117779627,06
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ITBI;ITBI;113900000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ITBI;ITBI;15940049,98
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6ITBI;ITBI;13770580,86
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6IRRF;IRRF;92003000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6IRRF;IRRF;19311746,13
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6IRRF;IRRF;12516253,84
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6OutrasReceitasTributarias;Outras Receitas Tributárias;159636100,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6OutrasReceitasTributarias;Outras Receitas Tributárias;58523138,26
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6OutrasReceitasTributarias;Outras Receitas Tributárias;54795971,05
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ReceitasDeContribuicoes;Receitas de Contribuições;169133000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ReceitasDeContribuicoes;Receitas de Contribuições;28724263,65
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6ReceitasDeContribuicoes;Receitas de Contribuições;16063553,41
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ReceitasPrevidenciarias;Receitas Previdenciárias;111764000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ReceitasPrevidenciarias;Receitas Previdenciárias;16769418,47
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6ReceitasPrevidenciarias;Receitas Previdenciárias;6822289,69
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6OutrasReceitasDeContribuicoes;Outras Receitas de Contribuições;57369000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6OutrasReceitasDeContribuicoes;Outras Receitas de Contribuições;11954845,18
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6OutrasReceitasDeContribuicoes;Outras Receitas de Contribuições;9241263,72
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ReceitaPatrimonialLiquida;Receita Patrimonial Líquida;3464000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ReceitaPatrimonialLiquida;Receita Patrimonial Líquida;299410,78
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6ReceitaPatrimonialLiquida;Receita Patrimonial Líquida;297330,67
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ReceitaPatrimonial;Receita Patrimonial;185170300,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ReceitaPatrimonial;Receita Patrimonial;13730844,99
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6ReceitaPatrimonial;Receita Patrimonial;8977110,12
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6MenosAplicacoesFinanceiras;(-) Aplicações Financeiras;181706300,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6MenosAplicacoesFinanceiras;(-) Aplicações Financeiras;13431434,21
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6MenosAplicacoesFinanceiras;(-) Aplicações Financeiras;8679779,45
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6TransferenciasCorrentes;Transferências Correntes;2090578292,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6TransferenciasCorrentes;Transferências Correntes;318081245,56
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6TransferenciasCorrentes;Transferências Correntes;307369181,01
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6CotaParteDoFPM;Cota-Parte do FPM;369647000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6CotaParteDoFPM;Cota-Parte do FPM;69952117,35
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6CotaParteDoFPM;Cota-Parte do FPM;70787864,71
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6CotaParteDoICMS;Cota-Parte do ICMS;703937600,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6CotaParteDoICMS;Cota-Parte do ICMS;106087945,11
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6CotaParteDoICMS;Cota-Parte do ICMS;109058749,07
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6ConveniosCorrentes;Convênios;102221492,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6ConveniosCorrentes;Convênios;360000,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6OutrasTransferenciasCorrentes;Outras Transferências Correntes;914772200,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6OutrasTransferenciasCorrentes;Outras Transferências Correntes;141681183,1
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6OutrasTransferenciasCorrentes;Outras Transferências Correntes;127522567,23
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6DemaisReceitasCorrentes;Demais Receitas Correntes;190705800,0
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2015;RREO6DemaisReceitasCorrentes;Demais Receitas Correntes;31995338,5
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;Até o Bimestre / 2014;RREO6DemaisReceitasCorrentes;Demais Receitas Correntes;33844542,93
2015;RREO;1;B;Prefeitura Municipal de Recife - PE;2611606;PE;1608488;RREO-Anexo 06;M;;PREVISÃO ATUALIZADA;RREO6DividaAtiva;Dívida Ativa;60966400,0
